source_ip,packet_size,protocol,true_label
192.168.2.233,0,TCP,attack
192.168.1.222,8801,TCP,normal
192.168.6.20,0,TCP,normal
192.168.9.62,2350,TCP,normal
192.168.5.173,1032,ICMP,attack
192.168.8.56,0,TCP,attack
192.168.9.35,664,TCP,normal
192.168.10.149,78,ICMP,normal
192.168.8.64,12,TCP,attack
192.168.8.208,119,UDP,normal
192.168.7.50,1255,TCP,normal
192.168.2.26,7233,TCP,normal
192.168.7.92,230,TCP,normal
192.168.7.107,19695,TCP,normal
192.168.8.223,520,UDP,normal
192.168.1.174,698,TCP,normal
192.168.2.17,5558,TCP,normal
192.168.7.188,0,TCP,attack
192.168.6.206,90,UDP,normal
192.168.2.65,0,TCP,normal
192.168.4.50,641,TCP,normal
192.168.9.116,0,TCP,attack
192.168.3.110,0,TCP,attack
192.168.3.73,551,TCP,normal
192.168.8.65,0,TCP,attack
192.168.2.115,8,ICMP,attack
192.168.9.27,1175,TCP,normal
192.168.1.168,181,UDP,normal
192.168.9.216,1329,TCP,normal
192.168.1.250,2134,TCP,normal
192.168.2.239,0,TCP,attack
192.168.4.44,0,TCP,attack
192.168.7.126,0,TCP,attack
192.168.8.56,5099,TCP,normal
192.168.7.233,0,TCP,attack
192.168.1.44,0,TCP,attack
192.168.7.2,1439,TCP,normal
192.168.7.69,190,TCP,normal
192.168.8.75,0,TCP,attack
192.168.7.180,0,TCP,attack
192.168.9.171,1169,TCP,normal
192.168.8.41,0,TCP,attack
192.168.4.77,0,TCP,attack
192.168.4.249,0,TCP,attack
192.168.1.150,5607,TCP,normal
192.168.9.17,1579,TCP,normal
192.168.6.16,0,TCP,attack
192.168.1.151,3768,TCP,normal
192.168.8.130,491,TCP,normal
192.168.9.42,0,TCP,attack
192.168.1.247,1,UDP,attack
192.168.9.22,1413,TCP,normal
192.168.3.19,126,UDP,normal
192.168.10.19,0,TCP,attack
192.168.4.105,2299,TCP,normal
192.168.2.243,537,TCP,normal
192.168.10.65,605,TCP,normal
192.168.10.154,0,TCP,attack
192.168.1.160,0,TCP,attack
192.168.2.109,8,ICMP,attack
192.168.10.146,0,TCP,attack
192.168.9.82,4539,TCP,normal
192.168.5.54,0,TCP,attack
192.168.6.63,115,UDP,normal
192.168.5.103,0,TCP,attack
192.168.3.173,171,UDP,normal
192.168.5.119,5908,TCP,normal
192.168.6.239,3717,TCP,normal
192.168.2.4,0,TCP,attack
192.168.8.161,0,TCP,attack
192.168.10.27,1588,TCP,normal
192.168.2.139,30,ICMP,normal
192.168.4.131,512,TCP,normal
192.168.5.35,0,TCP,attack
192.168.6.227,1782,TCP,normal
192.168.2.227,0,TCP,attack
192.168.4.96,48,TCP,normal
192.168.5.42,62854,TCP,attack
192.168.8.215,0,TCP,normal
192.168.9.182,0,TCP,attack
192.168.5.158,2780,TCP,normal
192.168.9.4,0,TCP,attack
192.168.9.78,611,TCP,normal
192.168.2.242,9915,TCP,normal
192.168.3.69,1774,TCP,normal
192.168.2.229,0,TCP,attack
192.168.2.192,252,UDP,normal
192.168.9.41,1480,ICMP,attack
192.168.5.74,9018,TCP,normal
192.168.10.55,100,UDP,attack
192.168.6.54,59,TCP,normal
192.168.5.131,8,ICMP,attack
192.168.8.66,84,UDP,normal
192.168.1.25,1032,ICMP,attack
192.168.7.214,92,UDP,normal
192.168.5.13,0,TCP,attack
192.168.1.87,14535,TCP,normal
192.168.3.165,0,TCP,attack
192.168.5.43,8,ICMP,attack
192.168.8.143,5248,TCP,normal
192.168.7.145,1576,TCP,normal
192.168.1.30,0,TCP,normal
192.168.2.243,1247,TCP,normal
192.168.3.141,2000,TCP,normal
192.168.1.215,621,TCP,normal
192.168.6.151,0,TCP,attack
192.168.9.39,0,TCP,attack
192.168.7.34,1032,ICMP,attack
192.168.1.80,8,ICMP,attack
192.168.6.232,0,TCP,normal
192.168.1.232,4753,TCP,normal
192.168.6.55,0,TCP,attack
192.168.4.172,18,ICMP,attack
192.168.2.92,1,UDP,attack
192.168.9.228,1038,TCP,normal
192.168.7.251,1944,TCP,normal
192.168.10.193,0,TCP,attack
192.168.3.238,2188,TCP,normal
192.168.4.223,0,TCP,attack
192.168.3.251,1134,TCP,normal
192.168.3.227,0,TCP,attack
192.168.7.8,8,ICMP,attack
192.168.3.190,5723,TCP,normal
192.168.6.202,710,TCP,normal
192.168.7.207,82,UDP,normal
192.168.4.70,20595,TCP,normal
192.168.3.203,530,TCP,normal
192.168.2.99,520,ICMP,attack
192.168.1.221,0,TCP,normal
192.168.8.58,252,UDP,normal
192.168.4.211,520,ICMP,attack
192.168.8.91,1192,TCP,normal
192.168.5.212,10193,TCP,normal
192.168.4.59,488,TCP,normal
192.168.1.170,0,TCP,attack
192.168.4.104,41170,TCP,normal
192.168.6.73,0,TCP,normal
192.168.2.249,1586,TCP,normal
192.168.5.91,227,TCP,normal
192.168.9.104,0,TCP,attack
192.168.9.86,1139,TCP,normal
192.168.1.31,1032,ICMP,attack
192.168.5.47,0,TCP,attack
192.168.10.248,6677,TCP,normal
192.168.5.11,0,TCP,attack
192.168.2.154,8,ICMP,attack
192.168.7.90,25294,TCP,normal
192.168.6.113,0,TCP,attack
192.168.10.253,1,UDP,attack
192.168.9.31,0,TCP,attack
192.168.7.232,2893,TCP,normal
192.168.10.50,0,TCP,attack
192.168.5.13,4325,TCP,normal
192.168.7.2,0,TCP,attack
192.168.9.238,10603,TCP,normal
192.168.9.177,0,TCP,attack
192.168.4.95,179,UDP,normal
192.168.7.19,0,TCP,normal
192.168.6.161,0,TCP,attack
192.168.6.171,13554,TCP,normal
192.168.2.186,1126,TCP,normal
192.168.5.131,5133876,TCP,attack
192.168.5.172,2848,TCP,normal
192.168.7.85,1532,TCP,normal
192.168.7.180,13356,TCP,normal
192.168.5.143,10514,TCP,normal
192.168.3.51,0,TCP,attack
192.168.7.172,9694,TCP,normal
192.168.7.175,8,ICMP,attack
192.168.3.159,0,TCP,attack
192.168.10.79,0,TCP,normal
192.168.7.142,252,UDP,normal
192.168.1.79,1,UDP,attack
192.168.5.55,1082,TCP,normal
192.168.7.203,18,ICMP,attack
192.168.10.157,0,TCP,attack
192.168.6.121,8,ICMP,attack
192.168.8.115,0,TCP,attack
192.168.4.132,0,TCP,attack
192.168.8.205,16115,TCP,normal
192.168.3.170,0,TCP,attack
192.168.2.74,20381,TCP,normal
192.168.9.171,0,TCP,normal
192.168.10.87,0,TCP,attack
192.168.2.211,7701,TCP,normal
192.168.4.174,515,TCP,normal
192.168.5.59,71,TCP,normal
192.168.4.39,0,TCP,attack
192.168.1.13,1197,TCP,normal
192.168.4.253,0,TCP,attack
192.168.8.158,154,UDP,normal
192.168.2.118,251,UDP,normal
192.168.7.228,2987,TCP,normal
192.168.10.51,1189,TCP,normal
192.168.7.128,182,ICMP,normal
192.168.7.64,0,TCP,normal
192.168.3.169,0,TCP,attack
192.168.1.230,92,UDP,normal
192.168.2.201,0,TCP,attack
192.168.7.58,0,TCP,attack
192.168.3.207,0,TCP,attack
192.168.9.120,8,ICMP,attack
192.168.1.144,62854,TCP,attack
192.168.4.236,570,TCP,normal
192.168.2.118,0,TCP,attack
192.168.3.207,78,ICMP,normal
192.168.8.172,2170,TCP,normal
192.168.9.254,1332,TCP,normal
192.168.9.154,0,TCP,attack
192.168.6.245,676,TCP,normal
192.168.8.158,28,UDP,attack
192.168.9.111,0,TCP,attack
192.168.9.116,0,TCP,attack
192.168.3.192,8,ICMP,attack
192.168.8.117,0,TCP,attack
192.168.5.194,0,TCP,attack
192.168.4.217,2884,TCP,normal
192.168.5.198,1704,TCP,normal
192.168.9.126,2983,TCP,normal
192.168.4.72,252,UDP,normal
192.168.8.21,2318,TCP,normal
192.168.5.62,150,UDP,normal
192.168.5.87,183,UDP,normal
192.168.6.230,2049,TCP,normal
192.168.9.22,16276,TCP,normal
192.168.3.40,0,TCP,attack
192.168.4.100,0,TCP,attack
192.168.3.182,1218,TCP,normal
192.168.4.18,0,TCP,attack
192.168.7.106,1,UDP,attack
192.168.6.140,14836,TCP,normal
192.168.8.108,172,UDP,normal
192.168.1.54,0,TCP,attack
192.168.7.101,161,UDP,normal
192.168.10.244,8,ICMP,attack
192.168.1.221,0,TCP,attack
192.168.10.99,61298,TCP,normal
192.168.8.3,0,TCP,normal
192.168.6.78,637,TCP,normal
192.168.7.220,0,TCP,attack
192.168.7.139,0,TCP,attack
192.168.9.206,507,TCP,normal
192.168.10.231,84,UDP,normal
192.168.4.126,0,TCP,attack
192.168.4.71,0,TCP,attack
192.168.7.126,0,TCP,attack
192.168.1.101,0,TCP,attack
192.168.6.173,30,ICMP,normal
192.168.7.187,0,TCP,attack
192.168.3.217,0,TCP,attack
192.168.8.237,2037,TCP,normal
192.168.3.253,28,UDP,attack
192.168.10.138,467,TCP,normal
192.168.1.234,0,TCP,attack
192.168.7.153,30,ICMP,normal
192.168.10.171,0,TCP,attack
192.168.1.23,251,UDP,normal
192.168.7.36,7839,TCP,normal
192.168.8.48,1259,TCP,normal
192.168.1.68,1938,TCP,normal
192.168.7.85,0,TCP,attack
192.168.4.118,1405,TCP,normal
192.168.6.88,2195,TCP,normal
192.168.7.73,0,TCP,attack
192.168.7.66,0,TCP,attack
192.168.2.122,0,TCP,attack
192.168.1.193,0,TCP,attack
192.168.9.15,0,TCP,attack
192.168.6.59,0,TCP,normal
192.168.2.201,948,TCP,normal
192.168.1.195,0,TCP,attack
192.168.1.245,1,TCP,attack
192.168.4.53,1256,TCP,normal
192.168.1.161,170,UDP,normal
192.168.3.63,0,TCP,attack
192.168.3.123,0,TCP,attack
192.168.2.146,1265,TCP,normal
192.168.4.121,62854,TCP,attack
192.168.5.198,334,TCP,attack
192.168.6.44,0,TCP,attack
192.168.10.157,343,TCP,normal
192.168.2.201,8,ICMP,attack
192.168.3.248,1585,TCP,normal
192.168.5.29,115,UDP,normal
192.168.10.8,0,TCP,normal
192.168.5.149,0,TCP,attack
192.168.7.103,0,TCP,attack
192.168.4.21,199,UDP,normal
192.168.10.178,8,ICMP,attack
192.168.4.28,0,TCP,attack
192.168.5.219,0,TCP,attack
192.168.10.208,566,TCP,normal
192.168.2.205,0,TCP,attack
192.168.10.202,1837,TCP,normal
192.168.1.90,3825,TCP,normal
192.168.9.111,0,TCP,attack
192.168.6.19,1059,TCP,normal
192.168.9.167,0,TCP,attack
192.168.6.5,8983,TCP,normal
192.168.7.212,670,TCP,normal
192.168.8.29,1186,TCP,normal
192.168.7.247,0,TCP,attack
192.168.6.164,4450,TCP,normal
192.168.8.183,9330,TCP,normal
192.168.3.113,0,TCP,attack
192.168.3.189,1305,TCP,normal
192.168.9.249,0,TCP,normal
192.168.5.159,62854,TCP,attack
192.168.9.200,0,TCP,attack
192.168.8.121,0,TCP,attack
192.168.7.213,8,ICMP,attack
192.168.10.70,1573,TCP,normal
192.168.6.220,182,ICMP,normal
192.168.4.214,1296,TCP,normal
192.168.2.73,0,TCP,attack
192.168.8.64,62854,TCP,attack
192.168.8.147,0,TCP,attack
192.168.10.173,0,TCP,attack
192.168.7.88,0,TCP,attack
192.168.1.128,114,UDP,normal
192.168.6.48,9483,TCP,normal
192.168.8.56,5528,TCP,normal
192.168.6.206,1705,TCP,normal
192.168.5.89,29,UDP,normal
192.168.5.227,0,TCP,attack
192.168.10.181,0,TCP,attack
192.168.5.144,0,TCP,attack
192.168.1.134,808,TCP,normal
192.168.4.23,78,ICMP,normal
192.168.4.186,2194619,TCP,normal
192.168.7.127,12165,TCP,normal
192.168.9.196,0,TCP,attack
192.168.4.178,589,TCP,normal
192.168.8.167,2135,TCP,normal
192.168.8.116,258601,TCP,normal
192.168.1.25,0,TCP,attack
192.168.5.58,192,TCP,normal
192.168.7.179,6,TCP,normal
192.168.4.80,1032,ICMP,attack
192.168.10.96,0,TCP,attack
192.168.8.143,0,TCP,attack
192.168.9.90,0,TCP,attack
192.168.7.192,1086,TCP,normal
192.168.9.86,0,TCP,attack
192.168.6.181,34,UDP,normal
192.168.8.71,0,TCP,attack
192.168.5.66,27131,TCP,normal
192.168.4.32,18,ICMP,attack
192.168.4.82,0,TCP,attack
192.168.2.192,0,TCP,attack
192.168.9.245,0,TCP,attack
192.168.3.51,562,TCP,normal
192.168.4.191,0,TCP,attack
192.168.8.72,84,UDP,normal
192.168.10.252,151,TCP,normal
192.168.9.154,123,UDP,normal
192.168.5.253,0,TCP,attack
192.168.2.215,37211,TCP,normal
192.168.4.77,2165,TCP,normal
192.168.4.94,8,ICMP,attack
192.168.3.79,500,TCP,normal
192.168.1.183,1032,ICMP,attack
192.168.9.34,0,TCP,normal
192.168.5.13,0,TCP,normal
192.168.1.143,0,TCP,attack
192.168.5.180,0,TCP,attack
192.168.3.165,163,UDP,normal
192.168.8.28,4753,TCP,normal
192.168.1.148,1963,TCP,normal
192.168.5.122,0,TCP,attack
192.168.8.114,157,UDP,normal
192.168.6.49,1,TCP,attack
192.168.1.66,0,TCP,attack
192.168.8.31,5472,TCP,normal
192.168.2.104,0,TCP,attack
192.168.8.20,0,TCP,attack
192.168.10.163,88,UDP,normal
192.168.1.40,1632,TCP,normal
192.168.3.209,0,TCP,attack
192.168.10.244,1219,TCP,normal
192.168.5.23,1,UDP,attack
192.168.4.32,250,UDP,normal
192.168.9.197,0,TCP,attack
192.168.7.157,1,TCP,attack
192.168.10.204,907,TCP,normal
192.168.10.59,0,TCP,attack
192.168.9.99,1277,TCP,normal
192.168.8.234,15876,TCP,normal
192.168.8.78,12,TCP,normal
192.168.10.111,0,TCP,attack
192.168.5.147,0,TCP,attack
192.168.10.17,1005,TCP,normal
192.168.10.247,8,ICMP,attack
192.168.2.244,1250,TCP,normal
192.168.4.162,0,TCP,attack
192.168.4.69,0,TCP,normal
192.168.2.42,147,UDP,normal
192.168.4.46,1556,TCP,normal
192.168.9.21,654,TCP,normal
192.168.3.2,113,UDP,normal
192.168.7.117,0,TCP,attack
192.168.10.122,0,TCP,attack
192.168.5.10,0,TCP,attack
192.168.4.75,2616,TCP,normal
192.168.5.181,0,TCP,attack
192.168.8.20,5929,TCP,normal
192.168.4.238,532,TCP,normal
192.168.5.203,1,UDP,attack
192.168.10.171,3777,TCP,normal
192.168.4.110,0,TCP,attack
192.168.2.141,0,TCP,attack
192.168.4.167,1293,TCP,normal
192.168.3.234,0,TCP,attack
192.168.5.213,1932,TCP,normal
192.168.3.20,1395,TCP,normal
192.168.1.44,626,TCP,normal
192.168.5.154,0,TCP,attack
192.168.10.237,501760,TCP,normal
192.168.5.114,3158,TCP,normal
192.168.2.121,1152,TCP,normal
192.168.5.181,383,TCP,normal
192.168.7.243,520,UDP,normal
192.168.5.130,1613,TCP,normal
192.168.9.128,0,TCP,attack
192.168.8.22,176,UDP,normal
192.168.10.12,118,UDP,normal
192.168.7.190,1163,TCP,normal
192.168.6.156,0,TCP,attack
192.168.5.8,5663,TCP,normal
192.168.2.60,8,ICMP,attack
192.168.10.152,607,TCP,normal
192.168.1.197,1277,TCP,normal
192.168.5.149,14762,TCP,normal
192.168.1.197,0,TCP,attack
192.168.3.122,2619,TCP,normal
192.168.9.168,0,TCP,attack
192.168.8.236,1699,TCP,normal
192.168.5.48,0,TCP,normal
192.168.10.113,0,TCP,attack
192.168.8.250,0,TCP,attack
192.168.2.122,1568,TCP,normal
192.168.6.106,18,ICMP,attack
192.168.6.84,251,UDP,normal
192.168.2.221,0,TCP,attack
192.168.3.86,1468,TCP,normal
192.168.7.179,0,TCP,attack
192.168.8.75,0,TCP,attack
192.168.7.210,120,UDP,normal
192.168.9.11,0,TCP,attack
192.168.8.24,0,TCP,attack
192.168.6.66,520,ICMP,attack
192.168.6.31,170,UDP,normal
192.168.7.223,252,UDP,normal
192.168.9.213,173,UDP,normal
192.168.1.170,9695,TCP,normal
192.168.9.120,62854,TCP,attack
192.168.7.15,0,TCP,attack
192.168.4.134,1214,TCP,normal
192.168.6.161,1289,TCP,normal
192.168.8.162,0,TCP,attack
192.168.8.196,0,TCP,attack
192.168.1.54,0,TCP,attack
192.168.5.142,6791,TCP,normal
192.168.3.239,234,TCP,normal
192.168.5.114,0,TCP,attack
192.168.8.33,1389,TCP,normal
192.168.1.251,0,TCP,attack
192.168.10.206,0,TCP,attack
192.168.4.183,0,TCP,attack
192.168.3.81,0,TCP,attack
192.168.9.5,0,TCP,attack
192.168.9.106,172,UDP,normal
192.168.2.59,11949,TCP,normal
192.168.2.120,0,TCP,attack
192.168.2.167,0,TCP,attack
192.168.3.129,499,TCP,normal
192.168.5.132,0,TCP,attack
192.168.5.108,5209,TCP,normal
192.168.8.252,6397,TCP,normal
192.168.8.64,0,TCP,attack
192.168.8.143,0,TCP,attack
192.168.3.100,37798,TCP,normal
192.168.4.237,251,UDP,normal
192.168.10.132,1433,TCP,normal
192.168.3.223,1032,ICMP,attack
192.168.2.72,426,TCP,normal
192.168.7.89,0,TCP,attack
192.168.9.70,8166,TCP,normal
192.168.1.74,2451,TCP,normal
192.168.5.216,12782,TCP,normal
192.168.10.150,0,TCP,attack
192.168.8.223,181,TCP,normal
192.168.3.116,0,TCP,attack
192.168.9.125,0,TCP,attack
192.168.6.87,1,TCP,attack
192.168.9.197,1968,TCP,normal
192.168.9.98,0,TCP,attack
192.168.8.240,4576,TCP,normal
192.168.6.224,0,TCP,attack
192.168.4.253,154,UDP,normal
192.168.4.148,122,UDP,normal
192.168.7.61,601,TCP,normal
192.168.7.13,2689,TCP,normal
192.168.6.192,8351,TCP,normal
192.168.8.182,8,ICMP,attack
192.168.7.100,0,TCP,attack
192.168.3.128,0,TCP,attack
192.168.1.34,0,TCP,attack
192.168.9.249,1,TCP,attack
192.168.10.86,0,TCP,attack
192.168.2.225,0,TCP,attack
192.168.8.27,0,TCP,attack
192.168.9.235,3775,TCP,normal
192.168.8.5,0,TCP,attack
192.168.3.106,520,ICMP,attack
192.168.3.21,0,TCP,attack
192.168.8.202,0,TCP,attack
192.168.5.88,383,TCP,normal
192.168.10.179,334,TCP,attack
192.168.7.168,597,TCP,normal
192.168.2.220,0,TCP,attack
192.168.6.220,0,TCP,attack
192.168.9.99,1930,TCP,normal
192.168.6.162,0,TCP,normal
192.168.8.225,468,TCP,normal
192.168.9.11,21579,TCP,normal
192.168.10.19,1851,TCP,normal
192.168.4.163,1,TCP,attack
192.168.5.60,0,TCP,attack
192.168.2.113,8,ICMP,attack
192.168.2.196,0,TCP,attack
192.168.2.115,0,TCP,attack
192.168.3.179,0,TCP,attack
192.168.5.233,1199,TCP,normal
192.168.1.13,0,TCP,attack
192.168.6.205,0,TCP,normal
192.168.1.77,525,TCP,normal
192.168.6.97,1066,TCP,normal
192.168.7.39,90,UDP,normal
192.168.4.137,30,ICMP,normal
192.168.7.146,3051,TCP,normal
192.168.3.45,0,TCP,attack
192.168.3.22,0,TCP,attack
192.168.10.224,9524,TCP,normal
192.168.7.160,2542,TCP,normal
192.168.4.129,3474,TCP,normal
192.168.10.38,28,UDP,attack
192.168.4.120,59,TCP,normal
192.168.5.119,8,ICMP,attack
192.168.5.172,1030,TCP,normal
192.168.1.232,0,TCP,attack
192.168.8.232,552,TCP,normal
192.168.5.175,107838,TCP,normal
192.168.9.42,0,TCP,attack
192.168.2.115,181,UDP,normal
192.168.6.254,246,TCP,attack
192.168.10.78,17883,TCP,normal
192.168.7.178,0,TCP,attack
192.168.5.118,1187,TCP,normal
192.168.5.52,0,TCP,attack
192.168.7.220,0,TCP,attack
192.168.8.29,0,TCP,attack
192.168.4.99,9561,TCP,normal
192.168.10.93,0,TCP,attack
192.168.10.77,12286,TCP,normal
192.168.5.7,252,UDP,normal
192.168.7.72,1201,TCP,normal
192.168.1.146,0,TCP,attack
192.168.1.235,0,TCP,attack
192.168.10.192,0,TCP,normal
192.168.8.215,0,TCP,attack
192.168.5.200,0,TCP,attack
192.168.4.157,0,TCP,attack
192.168.6.58,0,TCP,attack
192.168.4.160,334,TCP,attack
192.168.5.175,3484,TCP,normal
192.168.3.162,0,TCP,attack
192.168.2.233,0,TCP,attack
192.168.1.81,540,TCP,normal
192.168.8.10,0,TCP,attack
192.168.10.95,0,TCP,attack
192.168.3.25,18,ICMP,attack
192.168.5.85,4854,TCP,normal
192.168.7.46,598,TCP,normal
192.168.4.35,1747,TCP,normal
192.168.9.226,2120,TCP,normal
192.168.6.137,11813,TCP,normal
192.168.9.235,0,TCP,attack
192.168.5.214,0,TCP,attack
192.168.3.67,508,TCP,normal
192.168.8.249,0,TCP,attack
192.168.5.193,0,TCP,attack
192.168.6.207,3840,TCP,normal
192.168.2.121,520,ICMP,attack
192.168.2.38,0,TCP,attack
192.168.4.222,963,TCP,normal
192.168.7.249,0,TCP,attack
192.168.9.95,0,TCP,attack
192.168.2.204,126,UDP,normal
192.168.7.5,0,TCP,attack
192.168.5.139,84,UDP,normal
192.168.2.118,5053,TCP,normal
192.168.6.174,28,UDP,attack
192.168.5.151,0,TCP,attack
192.168.7.212,0,TCP,attack
192.168.6.29,755,TCP,normal
192.168.4.122,6278,TCP,normal
192.168.1.160,0,TCP,attack
192.168.9.85,463,TCP,normal
192.168.10.58,898,TCP,normal
192.168.2.164,1417,TCP,normal
192.168.8.234,0,TCP,attack
192.168.5.168,0,TCP,normal
192.168.7.31,1803,TCP,normal
192.168.3.13,1953,TCP,normal
192.168.1.79,0,TCP,attack
192.168.8.31,0,TCP,attack
192.168.2.62,541,TCP,normal
192.168.9.36,32291,TCP,normal
192.168.7.118,0,TCP,attack
192.168.6.173,0,TCP,attack
192.168.9.109,0,TCP,attack
192.168.10.192,925,TCP,normal
192.168.3.228,0,TCP,attack
192.168.7.169,7812,TCP,normal
192.168.2.215,0,TCP,attack
192.168.8.159,181,ICMP,normal
192.168.7.242,0,TCP,attack
192.168.5.10,0,TCP,attack
192.168.6.57,0,TCP,attack
192.168.8.115,8,ICMP,attack
192.168.4.220,3775,TCP,normal
192.168.6.27,59,TCP,normal
192.168.6.141,175,UDP,normal
192.168.6.17,252,UDP,normal
192.168.7.72,1039,TCP,normal
192.168.4.249,179,UDP,normal
192.168.2.244,169,UDP,normal
192.168.8.25,0,TCP,attack
192.168.4.166,0,TCP,attack
192.168.10.250,11429,TCP,normal
192.168.1.14,29220,TCP,normal
192.168.6.64,2049,TCP,normal
192.168.3.203,123,UDP,normal
192.168.10.54,1638,TCP,normal
192.168.2.214,1106,TCP,normal
192.168.9.55,0,TCP,attack
192.168.10.57,0,TCP,attack
192.168.4.86,715,TCP,normal
192.168.3.203,0,TCP,attack
192.168.10.2,0,TCP,normal
192.168.5.221,0,TCP,attack
192.168.3.254,251,UDP,normal
192.168.3.140,40494,TCP,normal
192.168.5.206,0,TCP,attack
192.168.3.30,0,TCP,attack
192.168.1.35,123055,TCP,normal
192.168.1.93,1,UDP,attack
192.168.4.152,88,UDP,normal
192.168.6.6,1,UDP,attack
192.168.3.69,0,TCP,attack
192.168.1.34,534,TCP,normal
192.168.7.136,132,UDP,normal
192.168.2.192,978,TCP,normal
192.168.2.123,0,TCP,attack
192.168.8.201,171,UDP,normal
192.168.6.133,86,UDP,normal
192.168.10.29,0,TCP,attack
192.168.8.130,0,TCP,attack
192.168.4.244,0,TCP,attack
192.168.10.13,0,TCP,attack
192.168.9.79,0,TCP,attack
192.168.8.166,1179,TCP,normal
192.168.1.17,62854,TCP,attack
192.168.8.218,0,TCP,attack
192.168.7.111,1214,TCP,normal
192.168.2.127,2048,TCP,normal
192.168.8.20,724,TCP,normal
